Date,Open,High,Low,Close,Adj Close,Volume
2020-08-28,23.600000,23.600000,23.600000,23.600000,23.224411,0
2020-08-31,23.580000,23.580000,23.580000,23.580000,23.204729,0
2020-09-01,23.760000,23.760000,23.760000,23.760000,23.381863,0
2020-09-02,23.660000,23.660000,23.660000,23.660000,23.283455,0
2020-09-03,23.209999,23.209999,23.209999,23.209999,22.840614,0
2020-09-04,22.910000,22.910000,22.910000,22.910000,22.545389,0
2020-09-08,22.469999,22.469999,22.469999,22.469999,22.112392,0
2020-09-09,22.799999,22.799999,22.799999,22.799999,22.437141,0
2020-09-10,22.389999,22.389999,22.389999,22.389999,22.033665,0
2020-09-11,22.309999,22.309999,22.309999,22.309999,21.954939,0
2020-09-14,22.559999,22.559999,22.559999,22.559999,22.200960,0
2020-09-15,22.389999,22.389999,22.389999,22.389999,22.033665,0
2020-09-16,22.370001,22.370001,22.370001,22.370001,22.013985,0
2020-09-17,22.330000,22.330000,22.330000,22.330000,21.974621,0
2020-09-18,22.209999,22.209999,22.209999,22.209999,21.856531,0
2020-09-21,22.000000,22.000000,22.000000,22.000000,21.649874,0
2020-09-22,22.030001,22.030001,22.030001,22.030001,21.679396,0
2020-09-23,21.580000,21.580000,21.580000,21.580000,21.236559,0
2020-09-24,21.879999,21.879999,21.879999,21.879999,21.531782,0
2020-09-25,21.910000,21.910000,21.910000,21.910000,21.561306,0
2020-09-28,22.070000,22.070000,22.070000,22.070000,21.718758,0
2020-09-29,21.860001,21.860001,21.860001,21.860001,21.512102,0
2020-09-30,21.870001,21.870001,21.870001,21.870001,21.521944,0
2020-10-01,21.900000,21.900000,21.900000,21.900000,21.551464,0
2020-10-02,21.820000,21.820000,21.820000,21.820000,21.472736,0
2020-10-05,22.000000,22.000000,22.000000,22.000000,21.649874,0
2020-10-06,21.840000,21.840000,21.840000,21.840000,21.492418,0
2020-10-07,22.100000,22.100000,22.100000,22.100000,21.748281,0
2020-10-08,22.459999,22.459999,22.459999,22.459999,22.102552,0
2020-10-09,22.280001,22.280001,22.280001,22.280001,21.925417,0
2020-10-12,22.530001,22.530001,22.530001,22.530001,22.171440,0
2020-10-13,22.299999,22.299999,22.299999,22.299999,21.945097,0
2020-10-14,22.320000,22.320000,22.320000,22.320000,21.964779,0
2020-10-15,22.520000,22.520000,22.520000,22.520000,22.161598,0
2020-10-16,22.389999,22.389999,22.389999,22.389999,22.033665,0
2020-10-19,22.430000,22.430000,22.430000,22.430000,22.073030,0
2020-10-20,22.490000,22.490000,22.490000,22.490000,22.132074,0
2020-10-21,22.629999,22.629999,22.629999,22.629999,22.269846,0
2020-10-22,22.870001,22.870001,22.870001,22.870001,22.506027,0
2020-10-23,22.799999,22.799999,22.799999,22.799999,22.437141,0
2020-10-26,22.620001,22.620001,22.620001,22.620001,22.260006,0
2020-10-27,22.740000,22.740000,22.740000,22.740000,22.378098,0
2020-10-28,22.250000,22.250000,22.250000,22.250000,21.895895,0
2020-10-29,22.490000,22.490000,22.490000,22.490000,22.132074,0
2020-10-30,22.320000,22.320000,22.320000,22.320000,21.964779,0
2020-11-02,22.559999,22.559999,22.559999,22.559999,22.200960,0
2020-11-03,22.820000,22.820000,22.820000,22.820000,22.456823,0
2020-11-04,22.870001,22.870001,22.870001,22.870001,22.506027,0
2020-11-05,23.629999,23.629999,23.629999,23.629999,23.253931,0
2020-11-06,23.600000,23.600000,23.600000,23.600000,23.224411,0
2020-11-09,24.530001,24.530001,24.530001,24.530001,24.139610,0
2020-11-10,24.170000,24.170000,24.170000,24.170000,23.785339,0
2020-11-11,24.240000,24.240000,24.240000,24.240000,23.854223,0
2020-11-12,24.260000,24.260000,24.260000,24.260000,23.873905,0
2020-11-13,24.379999,24.379999,24.379999,24.379999,23.991995,0
2020-11-16,24.980000,24.980000,24.980000,24.980000,24.582445,0
2020-11-17,25.350000,25.350000,25.350000,25.350000,24.946560,0
2020-11-18,25.120001,25.120001,25.120001,25.120001,24.720221,0
2020-11-19,25.230000,25.230000,25.230000,25.230000,24.828466,0
2020-11-20,25.459999,25.459999,25.459999,25.459999,25.054806,0
2020-11-23,25.990000,25.990000,25.990000,25.990000,25.576372,0
2020-11-24,26.420000,26.420000,26.420000,26.420000,25.999529,0
2020-11-25,25.940001,25.940001,25.940001,25.940001,25.527170,0
2020-11-27,25.250000,25.250000,25.250000,25.250000,24.848148,0
2020-11-30,26.309999,26.309999,26.309999,26.309999,25.891279,0
